FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b57 1167 Grand-Sud Saint-Barthélémy-de-Séchilienne  Village (pont) / Les Ruines   verre  aérien 4 SNNECO Eco-Bois      SNNECO_Eco-Bois_4_A_k     5.825513 45.044622 POINT (5.825512979419343 45.044621991220374)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b58 1168 Grand-Sud Saint-Barthélémy-de-Séchilienne  Le Sapey (entrée hameau) / Accès par commune de Laffrey   verre  aérien 3 SNNECO Eco-DI      SNNECO_Eco-DI_3_A_k     5.809596 45.03811 POINT (5.809596329168166 45.038109578981924)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c26 2071 Grand-Sud Saint-Barthélémy-de-Séchilienne  Village (pont) / Les Ruines   papier CA aérien 4 SNNECO Eco-DI           5.825513 45.044622 POINT (5.8255074208601645 45.04463506247501)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c27 2072 Grand-Sud Saint-Barthélémy-de-Séchilienne  Le Sapey (entrée hameau) / Accès par commune de Laffrey   papier CA aérien 4 SNNECO Eco-DI           5.809584 45.038102 POINT (5.80958354233294 45.03810170305016)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3ca3 3071 Grand-Sud Saint-Barthélémy-de-Séchilienne  Village (pont) / Les Ruines  EMB emballages CA aérien 4 SNNECO Eco-DI           5.825513 45.044622 POINT (5.825503988461397 45.04464625530985)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3ca4 3072 Grand-Sud Saint-Barthélémy-de-Séchilienne  Le Sapey (entrée hameau) / Accès par commune de Laffrey / 1  EMB emballages CA aérien 4 SNNECO Eco-DI           5.809584 45.038102 POINT (5.809558360507257 45.038087781995614)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3ca5 3073 Grand-Sud Saint-Barthélémy-de-Séchilienne  Le Sapey (entrée hameau) / Accès par commune de Laffrey / 2  EMB emballages CA aérien 4 SNNECO Eco-Bois           5.809584 45.038102 POINT (5.809570009635366 45.03809548062983)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d18 4035 Grand-Sud Saint-Barthélémy-de-Séchilienne  Le Sapey (entrée hameau) / Accès par commune de Laffrey   ordures ménagères résiduelles CSE semi-enterré 0 Bauer GTE  trappe   bon  2018-06    5.809534 45.038078 POINT (5.809525631370049 45.03806986851495)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3d19 4036 Grand-Sud Saint-Barthélémy-de-Séchilienne  Le Sapey (entrée hameau) / Accès par commune de Laffrey   ordures ménagères résiduelles CSE semi-enterré 0 Bauer GTE  trappe   bon  2018-06    5.809699 45.038156 POINT (5.809536909090996 45.03807651736418)
