FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3974 548 Grand-Sud Le-Gua  Saint Barthélémy / Eglise / Place du Calvaire   verre  aérien 4 SNNECO Eco-Bois      SNNECO_Eco-Bois_4_A_c     5.629494 44.999853 POINT (5.62949363668531 44.999853311042756)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3975 549 Grand-Sud Le-Gua  Les Saillants / Mairie   verre  aérien 4 SNNECO Eco-Bois      SNNECO_Eco-Bois_4_A_c     5.645373 45.021699 POINT (5.645372790315652 45.021699183473046)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3976 550 Grand-Sud Le-Gua  Les Saillants / Boulodrome / Tennis / Ecole élémentaire le Bruyant   verre  aérien 4 SNNECO Eco-Bois      SNNECO_Eco-Bois_4_A_c     5.649507 45.020457 POINT (5.6495074718755856 45.020456697964434)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3977 551 Grand-Sud Le-Gua  Les Saillants / Boulodrome / Tennis / Ecole élémentaire le Bruyant   verre  aérien 4 SNNECO Eco-Bois    2017-05-18  SNNEco_Eco-Bois_4_A_c    2017-05-18 5.649402 45.020467 POINT (5.649402446096218 45.02046684131734)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3978 552 Grand-Sud Le-Gua  Les Saillants / Avenue du Vercors (vers n° 21 - Café des Voyageurs - face tabac-presse) / Place du Centre   verre  aérien 4.2 Citec Cyclea Max      Citec_Cyclea Max_4.2_A_c     5.646008 45.024933 POINT (5.646008386107553 45.02493299002296)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3979 553 Grand-Sud Le-Gua  Prélenfrey / Eglise   verre  aérien 3 Citec Cyclea      Citec_Cyclea_3_A_c     5.613464 45.016907 POINT (5.613464175024981 45.016906846733555)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3bc0 1276 Grand-Sud Le-Gua  Route Départementale 8 / La Pierre / Parking à 100m en contrebas après hameau   verre CA aérien 4 -       __4_A_  2018-03 Colonne installée en novembre 2017 mais intégrée dans la BDD en mars 2018 (comptabilisée dans reporting 2018)  5.62302 44.989515 POINT (5.6230201275943275 44.98951485120209)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3bc1 1277 Grand-Sud Le-Gua  17-19 Rue de la Blacharde  VER verre CA aérien 0 -       __0_A_  2018-03 Colonne installée en novembre 2017 mais intégrée dans la BDD en mars 2018 (comptabilisée dans reporting 2018)  5.64329 45.01781 POINT (5.643290130743761 45.01781044490602)
